parameter,feature,kind,unique_values,rows_used,pearson,abs_pearson,spearman,abs_spearman,eta,eta_squared,strength,direction_or_best_level
explored_nodes,raw,numeric,72,72,0.7958813659255984,0.7958813659255984,0.44206836695204993,0.44206836695204993,,,0.7958813659255984,higher runtime with larger values
mip_final_nodes,raw,numeric,72,72,0.7958813659255984,0.7958813659255984,0.44206836695204993,0.44206836695204993,,,0.7958813659255984,higher runtime with larger values
explored_simplex_iterations,raw,numeric,72,72,0.7046995879903791,0.7046995879903791,0.41524905960950176,0.41524905960950176,,,0.7046995879903791,higher runtime with larger values
cutting_planes_cover,raw,numeric,35,70,0.629885567234077,0.629885567234077,-0.0814293612064873,0.0814293612064873,,,0.629885567234077,lower runtime with larger values
cutting_planes_flow_cover,raw,numeric,65,71,0.6165303802968486,0.6165303802968486,0.11369353060021203,0.11369353060021203,,,0.6165303802968486,higher runtime with larger values
variable_bound_range_presolved,raw_category,categorical,8,72,,,,,0.5764423077897354,0.332285734209956,0.5764423077897354,"[ 0.000110327, 35.346 ] (median_ratio=0.54617, n=8)"
cutting_planes_strongcg,raw,numeric,2,13,-0.37510656265439074,0.37510656265439074,-0.5698028822981898,0.5698028822981898,,,0.5698028822981898,lower runtime with larger values
cutting_planes_network,raw,numeric,6,9,0.3855535368699019,0.3855535368699019,0.5277790490704242,0.5277790490704242,,,0.5277790490704242,higher runtime with larger values
cutting_planes_learned,raw,numeric,4,34,0.5219173877754407,0.5219173877754407,0.11756567217623647,0.11756567217623647,,,0.5219173877754407,higher runtime with larger values
cutting_planes_mir,raw,numeric,68,71,0.48988123979985365,0.48988123979985365,0.07191904287056995,0.07191904287056995,,,0.48988123979985365,higher runtime with larger values
cutting_planes_relax_and_lift,raw,numeric,56,71,0.4657660383152564,0.4657660383152564,-0.03697896169519412,0.03697896169519412,,,0.4657660383152564,lower runtime with larger values
mip_final_runtime_seconds,raw,numeric,72,72,0.43355637891493787,0.43355637891493787,0.2918287939252094,0.2918287939252094,,,0.43355637891493787,higher runtime with larger values
explored_time_seconds,raw,numeric,72,72,0.43355597976712473,0.43355597976712473,0.2918287939252094,0.2918287939252094,,,0.43355597976712473,higher runtime with larger values
cutting_planes_rlt,raw,numeric,71,71,0.4185199488147126,0.4185199488147126,0.07317482146373061,0.07317482146373061,,,0.4185199488147126,higher runtime with larger values
mip_final_status,raw,numeric,2,72,0.38660785373786344,0.38660785373786344,0.3517138962233849,0.3517138962233849,,,0.38660785373786344,higher runtime with larger values
rhs_coefficient_range_presolved,raw_category,categorical,15,72,,,,,0.37818642884073067,0.14302497495930505,0.37818642884073067,"[ 4.89465e-08, 22.277 ] (median_ratio=0.451262, n=1)"
cutting_planes_implied_bound,raw,numeric,52,71,0.3370513025517472,0.3370513025517472,0.10229874845598372,0.10229874845598372,,,0.3370513025517472,higher runtime with larger values
split_selection_mode,raw_category,categorical,3,72,,,,,0.2570210754338354,0.06605983321716531,0.2570210754338354,"max (median_ratio=0.738306, n=30)"
top_k,raw,numeric,3,72,-0.2523458344376074,0.2523458344376074,-0.11102590316198267,0.11102590316198267,,,0.2523458344376074,lower runtime with larger values
linear_constraint_matrix_vars,raw,numeric,32,72,-0.2415266630324806,0.2415266630324806,-0.10729607653243829,0.10729607653243829,,,0.2415266630324806,lower runtime with larger values
linear_constraint_matrix_vars_presolved,raw,numeric,45,72,-0.2378113676255816,0.2378113676255816,-0.08223628983801574,0.08223628983801574,,,0.2378113676255816,lower runtime with larger values
optimizer_presolved_columns,raw,numeric,45,72,-0.2378113676255816,0.2378113676255816,-0.08223628983801574,0.08223628983801574,,,0.2378113676255816,lower runtime with larger values
variable_types_binary,raw,numeric,40,72,-0.23513790621595484,0.23513790621595484,-0.05991763372441846,0.05991763372441846,,,0.23513790621595484,lower runtime with larger values
variable_types_integer,raw,numeric,40,72,-0.23513790621595484,0.23513790621595484,-0.05991763372441846,0.05991763372441846,,,0.23513790621595484,lower runtime with larger values
optimizer_presolved_variable_types_continuous,raw,numeric,33,72,-0.23490981261704202,0.23490981261704202,-0.10802618656814604,0.10802618656814604,,,0.23490981261704202,lower runtime with larger values
variable_types_continuous_presolved,raw,numeric,33,72,-0.23490981261704202,0.23490981261704202,-0.10802618656814604,0.10802618656814604,,,0.23490981261704202,lower runtime with larger values
optimizer_presolved_variable_types_binary,raw,numeric,24,72,-0.2332230254008021,0.2332230254008021,-0.06360336200224224,0.06360336200224224,,,0.2332230254008021,lower runtime with larger values
optimizer_presolved_variable_types_integer,raw,numeric,24,72,-0.2332230254008021,0.2332230254008021,-0.06360336200224224,0.06360336200224224,,,0.2332230254008021,lower runtime with larger values
variable_types_binary_presolved,raw,numeric,24,72,-0.2332230254008021,0.2332230254008021,-0.06360336200224224,0.06360336200224224,,,0.2332230254008021,lower runtime with larger values
variable_types_integer_presolved,raw,numeric,24,72,-0.2332230254008021,0.2332230254008021,-0.06360336200224224,0.06360336200224224,,,0.2332230254008021,lower runtime with larger values
matrix_coefficient_range_presolved,raw_category,categorical,4,72,,,,,0.2046974744020104,0.041901056026561696,0.2046974744020104,"[ 9.78159e-10, 35.1672 ] (median_ratio=0.745503, n=21)"
matrix_coefficient_range,raw_category,categorical,3,72,,,,,0.1979372644270299,0.03917916064885596,0.1979372644270299,"[ 1.01469e-13, 35.1672 ] (median_ratio=0.750627, n=22)"
rhs_coefficient_range,raw_category,categorical,3,72,,,,,0.1979372644270299,0.03917916064885596,0.1979372644270299,"[ 1.67848e-38, 22.292 ] (median_ratio=0.750627, n=22)"
variable_bound_range,raw_category,categorical,3,72,,,,,0.1979372644270299,0.03917916064885596,0.1979372644270299,"[ 3.90274e-09, 35.1672 ] (median_ratio=0.750627, n=22)"
linear_constraint_matrix_constrs_presolved,raw,numeric,46,72,-0.1971674776580203,0.1971674776580203,-0.12110343367221345,0.12110343367221345,,,0.1971674776580203,lower runtime with larger values
optimizer_presolved_rows,raw,numeric,46,72,-0.1971674776580203,0.1971674776580203,-0.12110343367221345,0.12110343367221345,,,0.1971674776580203,lower runtime with larger values
linear_constraint_matrix_nzs_presolved,raw,numeric,67,72,-0.19643194953478316,0.19643194953478316,0.00934211266843181,0.00934211266843181,,,0.19643194953478316,higher runtime with larger values
optimizer_presolved_nonzeros,raw,numeric,67,72,-0.19643194953478316,0.19643194953478316,0.00934211266843181,0.00934211266843181,,,0.19643194953478316,higher runtime with larger values
linear_constraint_matrix_nzs,raw,numeric,43,72,-0.19614054835271913,0.19614054835271913,-0.12634628408443405,0.12634628408443405,,,0.19614054835271913,lower runtime with larger values
linear_constraint_matrix_constrs,raw,numeric,21,72,-0.19542258543222796,0.19542258543222796,-0.12686978684729922,0.12686978684729922,,,0.19542258543222796,lower runtime with larger values
general_constraints,raw,numeric,3,72,-0.1945286524291427,0.1945286524291427,-0.07184680197082209,0.07184680197082209,,,0.1945286524291427,lower runtime with larger values
optimizer_presolve_removed_rows,raw,numeric,41,72,-0.1938674875398073,0.1938674875398073,-0.011634740692475071,0.011634740692475071,,,0.1938674875398073,lower runtime with larger values
matrix_coefficient_range_presolved,number_first,embedded_numeric,3,72,0.19316903838587535,0.19316903838587535,0.02880717759593016,0.02880717759593016,,,0.19316903838587535,higher runtime with larger values
matrix_coefficient_range_presolved,number_min,embedded_numeric,3,72,0.19316903838587535,0.19316903838587535,0.02880717759593016,0.02880717759593016,,,0.19316903838587535,higher runtime with larger values
rhs_coefficient_range_presolved,number_first,embedded_numeric,2,72,0.19314097881850903,0.19314097881850903,0.015079999101171155,0.015079999101171155,,,0.19314097881850903,higher runtime with larger values
rhs_coefficient_range_presolved,number_min,embedded_numeric,2,72,0.19314097881850903,0.19314097881850903,0.015079999101171155,0.015079999101171155,,,0.19314097881850903,higher runtime with larger values
rhs_coefficient_range_presolved,number_mean,embedded_numeric,15,72,0.19308328361821692,0.19308328361821692,-0.038491279749345304,0.038491279749345304,,,0.19308328361821692,lower runtime with larger values
rhs_coefficient_range_presolved,number_last,embedded_numeric,15,72,0.19308328361821436,0.19308328361821436,-0.038491279749345304,0.038491279749345304,,,0.19308328361821436,lower runtime with larger values
rhs_coefficient_range_presolved,number_max,embedded_numeric,15,72,0.19308328361821436,0.19308328361821436,-0.038491279749345304,0.038491279749345304,,,0.19308328361821436,lower runtime with larger values
rhs_coefficient_range_presolved,number_span,embedded_numeric,15,72,0.19308328361821173,0.19308328361821173,-0.038491279749345304,0.038491279749345304,,,0.19308328361821173,lower runtime with larger values
matrix_coefficient_range_presolved,number_mean,embedded_numeric,4,72,0.19241907434511277,0.19241907434511277,-0.037059632300516836,0.037059632300516836,,,0.19241907434511277,lower runtime with larger values
matrix_coefficient_range_presolved,number_last,embedded_numeric,3,72,0.19241907434500208,0.19241907434500208,-0.044763190756690205,0.044763190756690205,,,0.19241907434500208,lower runtime with larger values
matrix_coefficient_range_presolved,number_max,embedded_numeric,3,72,0.19241907434500208,0.19241907434500208,-0.044763190756690205,0.044763190756690205,,,0.19241907434500208,lower runtime with larger values
matrix_coefficient_range_presolved,number_span,embedded_numeric,4,72,0.19241907434489175,0.19241907434489175,-0.05227933396352836,0.05227933396352836,,,0.19241907434489175,lower runtime with larger values
variable_bound_range,number_first,embedded_numeric,3,72,0.19193678261050262,0.19193678261050262,-0.044763190756690205,0.044763190756690205,,,0.19193678261050262,lower runtime with larger values
variable_bound_range,number_min,embedded_numeric,3,72,0.19193678261050262,0.19193678261050262,-0.044763190756690205,0.044763190756690205,,,0.19193678261050262,lower runtime with larger values
optimizer_presolve_removed_columns,raw,numeric,29,72,0.18799054852234104,0.18799054852234104,0.038781671015594085,0.038781671015594085,,,0.18799054852234104,higher runtime with larger values
cutting_planes_clique,raw,numeric,15,63,-0.029458765215375386,0.029458765215375386,0.18481802342729853,0.18481802342729853,,,0.18481802342729853,higher runtime with larger values
cutting_planes_gomory,raw,numeric,4,25,0.015373819870028749,0.015373819870028749,0.18313557044420625,0.18313557044420625,,,0.18313557044420625,higher runtime with larger values
variable_types_continuous,raw,numeric,27,72,-0.17029920957710135,0.17029920957710135,-0.1698100172603104,0.1698100172603104,,,0.17029920957710135,lower runtime with larger values
optimizer_presolve_time_seconds,raw,numeric,56,72,-0.14274288112091166,0.14274288112091166,0.02979914155650713,0.02979914155650713,,,0.14274288112091166,higher runtime with larger values
variable_bound_range_presolved,number_first,embedded_numeric,8,72,0.09077050973373785,0.09077050973373785,-0.13619875088032232,0.13619875088032232,,,0.13619875088032232,lower runtime with larger values
variable_bound_range_presolved,number_min,embedded_numeric,8,72,0.09077050973373785,0.09077050973373785,-0.13619875088032232,0.13619875088032232,,,0.13619875088032232,lower runtime with larger values
variable_bound_range_presolved,number_mean,embedded_numeric,8,72,0.0758136633436516,0.0758136633436516,-0.13619875088032232,0.13619875088032232,,,0.13619875088032232,lower runtime with larger values
root_relaxation_seconds,raw,numeric,51,72,-0.12597154349182288,0.12597154349182288,0.08091937392315446,0.08091937392315446,,,0.12597154349182288,higher runtime with larger values
rhs_coefficient_range,number_last,embedded_numeric,3,72,0.11677187682442536,0.11677187682442536,-0.044763190756690205,0.044763190756690205,,,0.11677187682442536,lower runtime with larger values
rhs_coefficient_range,number_max,embedded_numeric,3,72,0.11677187682442536,0.11677187682442536,-0.044763190756690205,0.044763190756690205,,,0.11677187682442536,lower runtime with larger values
rhs_coefficient_range,number_mean,embedded_numeric,3,72,0.11677187682442536,0.11677187682442536,-0.044763190756690205,0.044763190756690205,,,0.11677187682442536,lower runtime with larger values
rhs_coefficient_range,number_span,embedded_numeric,3,72,0.11677187682442536,0.11677187682442536,-0.044763190756690205,0.044763190756690205,,,0.11677187682442536,lower runtime with larger values
extra_simplex_iterations_after_uncrush,raw,numeric,50,72,-0.07139673602727181,0.07139673602727181,-0.09631113360329871,0.09631113360329871,,,0.09631113360329871,lower runtime with larger values
root_relaxation_objective,raw,numeric,58,72,-0.08904022817055547,0.08904022817055547,0.03557185157444584,0.03557185157444584,,,0.08904022817055547,higher runtime with larger values
root_relaxation_iterations,raw,numeric,72,72,-0.08196013736648723,0.08196013736648723,0.03148213655678016,0.03148213655678016,,,0.08196013736648723,higher runtime with larger values
cutting_planes_projected_implied_bound,raw,numeric,4,21,-0.07867266079846479,0.07867266079846479,0.014496407872773254,0.014496407872773254,,,0.07867266079846479,higher runtime with larger values
variable_bound_range,number_mean,embedded_numeric,3,72,0.07581210759309517,0.07581210759309517,-0.044763190756690205,0.044763190756690205,,,0.07581210759309517,lower runtime with larger values
matrix_coefficient_range,number_mean,embedded_numeric,3,72,0.07581210616600854,0.07581210616600854,-0.044763190756690205,0.044763190756690205,,,0.07581210616600854,lower runtime with larger values
matrix_coefficient_range,number_span,embedded_numeric,3,72,0.07581210616600854,0.07581210616600854,-0.044763190756690205,0.044763190756690205,,,0.07581210616600854,lower runtime with larger values
matrix_coefficient_range,number_last,embedded_numeric,3,72,0.0758121061660085,0.0758121061660085,-0.044763190756690205,0.044763190756690205,,,0.0758121061660085,lower runtime with larger values
matrix_coefficient_range,number_max,embedded_numeric,3,72,0.0758121061660085,0.0758121061660085,-0.044763190756690205,0.044763190756690205,,,0.0758121061660085,lower runtime with larger values
variable_bound_range,number_last,embedded_numeric,3,72,0.0758121061660085,0.0758121061660085,-0.044763190756690205,0.044763190756690205,,,0.0758121061660085,lower runtime with larger values
variable_bound_range,number_max,embedded_numeric,3,72,0.0758121061660085,0.0758121061660085,-0.044763190756690205,0.044763190756690205,,,0.0758121061660085,lower runtime with larger values
variable_bound_range_presolved,number_last,embedded_numeric,3,72,0.0758121061660085,0.0758121061660085,-0.044763190756690205,0.044763190756690205,,,0.0758121061660085,lower runtime with larger values
variable_bound_range_presolved,number_max,embedded_numeric,3,72,0.0758121061660085,0.0758121061660085,-0.044763190756690205,0.044763190756690205,,,0.0758121061660085,lower runtime with larger values
variable_bound_range,number_span,embedded_numeric,3,72,0.07581210473892172,0.07581210473892172,-0.044763190756690205,0.044763190756690205,,,0.07581210473892172,lower runtime with larger values
variable_bound_range_presolved,number_span,embedded_numeric,8,72,0.07581054888096121,0.07581054888096121,0.049294454071966524,0.049294454071966524,,,0.07581054888096121,higher runtime with larger values
extra_simplex_iterations_dual_to_original,raw,numeric,34,72,0.03972115355525544,0.03972115355525544,0.04353881733622504,0.04353881733622504,,,0.04353881733622504,higher runtime with larger values
